Name,Price,Ram,System,SSD,Processor,Display
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 3 Quad Core 732...","₹58,999",16 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 Inch) Display
Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,"₹1,10,999",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core Ultra 5 Processor,40.64 cm (16 inch) Display
"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...","₹96,000",16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (12th Gen),40.64 cm (16 Inch) Display
Lenovo Legion 5 Intel Core i7 14th Gen 14650HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA ...,"₹1,84,690",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core i7 Processor (14th Gen),40.64 cm (16 Inch) Display
ASUS ASUS Vivobook 16 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) X1605VA-SH195...,"₹78,199",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),40.64 cm (16 inch) Display
ASUS Chromebook Plus Intel Core i3 12th Gen 1215U - (8 GB/128 GB/Chrome OS) CX3402CBA-PQ0173 Chromeboo...,"₹46,990",8 GB LPDDR5 RAM,Chrome Operating System,,Intel Core i3 Processor (12th Gen),35.56 cm (14 Inch) Display
HP 15 with MSO'2024 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU | 15-f...,"₹52,990",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 Inch) Display
HP 255R G10 (2026) Professional DDR5 5600Mhz AMD Ryzen 3 Quad Core 7335U - (8 GB/512 GB SSD/Windows 11...,"₹53,990",8 GB DDR5 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 Inch) Display
Lenovo Chromebook Intel Pentium Quad Core N100 - (4 GB/128 GB EMMC Storage/Chrome OS) 14IAN8 Chromeboo...,"₹29,190",4 GB LPDDR5 RAM,Chrome Operating System,,Intel Pentium Quad Core Processor,35.56 cm (14 Inch) Display
HP Pavilion Aero AMD Ryzen 7 Octa Core 7735U - (16 GB/1 TB SSD/Windows 11 Home) 13-BE2048AU Thin and L...,"₹99,999",16 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,AMD Ryzen 7 Octa Core Processor,33.78 cm (13.3 Inch) Display
"HP HP 15, AMD Ryzen 7 AMD Ryzen 7 7th Gen 7735HS - (16 GB/512 GB SSD/Windows 11 Home) fc1038AU Laptop","₹74,990",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 7 Processor (7th Gen),39.62 cm (15.6 inch) Display
ASUS Vivobook AMD Ryzen 3 Quad Core 7320U - (8 GB/1 TB SSD/Windows 11 Home) E1404FA-NK331W Thin and Li...,"₹56,991",8 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,AMD Ryzen 3 Quad Core Processor,35.56 cm (14 Inch) Display
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹77,999",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (11th Gen),39.62 cm (15.6 Inch) Display
HP Chromebook Intel Celeron Dual Core N4500 - (4 GB/256 GB SSD/Windows 10 Home) 14s-dq3017TU Chromeboo...,"₹52,839",4 GB LPDDR4X RAM,64 bit Windows 10 Operating System,256 GB SSD,Intel Celeron Dual Core Processor,35.56 cm (14 inch) Display
HP 15 (i5 14th Gen) Intel Core 5 120U - (16 GB/512 GB SSD/Windows 11 Home) FD0682TU Thin and Light Lap...,"₹72,998",16 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 5 Processor,39.62 cm (15.6 inch) Display
Apple 2021 Macbook Pro M1 Pro - (16 GB/1 TB SSD/Mac OS Monterey) MKGQ3HN/A,"₹2,39,900",16 GB Unified Memory RAM,Mac OS Operating System,1 TB SSD,Apple M1 Pro Processor,36.07 cm (14.2 Inch) Display
ASUS Chromebook CX15 Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1505CKA-S7...,"₹40,048",8 GB LPDDR4X RAM,Chrome Operating System,,Intel Celeron Dual Core Processor,39.62 cm (15.6 Inch) Display
Samsung Galaxy Book6 Intel Core Ultra 5 Series 3 325 - (16 GB/512 GB SSD/Windows 11 Home) NP740VJG Thi...,"₹1,12,990",16 GB LPDDR5X RAM,64 bit Windows 11 Home Operating System,512 GB SSD,Intel Core Ultra 5 Processor (Series 3),35.56 cm (14 inch) Display
HP 15s Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) 15s-FQ2535TU Thin and Light L...,"₹66,688",8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,Intel Core i5 Processor (11th Gen),39.62 cm (15.6 Inch) Display
Acer Aspire 3 AMD Ryzen 3 Dual Core 5th Gen - (8 GB/512 GB SSD/Windows 11 Home) AS15-42 Laptop,"₹44,897",8 GB SDR RAM,64 bit Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 3 Dual Core Processor (5th Gen),39.62 cm (15.6 inch) Display
Infinix Y4 Max Series Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,"₹69,999",16 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (13th Gen),40.64 cm (16 Inch) Display
Acer Aspire Lite AMD Ryzen 3 Quad Core - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Lapt...,"₹47,990",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 inch) Display
Acer Aspire 15 AMD Ryzen 5 Hexa Core - (16 GB/512 GB SSD/Windows 11 Home) UN.34QSI.002 / UN.35MSI.OOD ...,"₹65,938",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,2.54 cm (1 inch) Display
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,"₹36,500",8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,Intel Celeron Dual Core Processor,29.46 cm (11.6 Inch) Display
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹87,763",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 5 Processor,35.56 cm (14 Inch) Display
Lenovo Ultra 5 225U Intel Core Ultra 5 225U - (16 GB/1 TB SSD/Windows 11 Home) 21SKA0FTIG Laptop,"₹1,10,999",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core Ultra 5 Processor,40.64 cm (16 inch) Display
Acer Predator Helios 16 Intel Core i9 14th Gen 14900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics...,"₹1,99,990",16 GB DDR5 RAM,Windows 11 Operating System,1 TB SSD,Intel Core i9 Processor (14th Gen),40.64 cm (16 Inch) Display
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) One 14 Z8-415 Thin and Ligh...,"₹49,999",8 GB DDR4 RAM,64 bit Windows 11 Operating System,256 GB SSD,Intel Core i3 Processor (11th Gen),35.56 cm (14 Inch) Display
MSI Venture A16 AI+ AMD Ryzen 7 Octa Core - (16 GB/1 TB SSD/Windows 11 Home) Venture A16 AI+ A3HMG-037...,"₹1,20,990",16 GB DDR5 RAM,64 bit Windows 11 Operating System,1 TB SSD,AMD Ryzen 7 Octa Core Processor,40.64 cm (16 Inch) Display
Apple MacBook Pro Intel Core i5 8th Gen - (8 GB/512 GB SSD/Mac OS Mojave) MV972HN/A,"₹1,79,900",8 GB DDR3 RAM,Mac OS Operating System,512 GB SSD,Intel Core i5 Processor (8th Gen),33.78 cm (13.3 Inch) Display
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS Thin...,"₹65,483",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (12th Gen),39.62 cm (15.6 Inch) Display
HP AMD Ryzen 5 Quad Core - (8 GB/512 GB SSD/Windows 11 Home) 14-em0026AU Thin and Light Laptop,"₹58,946",8 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 5 Quad Core Processor,35.56 cm (14 inch) Display
Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFo...,"₹1,08,999",16 GB DDR5 RAM,64 bit Windows 11 Operating System,512 GB SSD,AMD Ryzen 5 Hexa Core Processor,39.62 cm (15.6 inch) Display
HP AMD Ryzen 3 Quad Core - (8 GB/512 GB SSD/Windows 11 Home) 15-fc0025AU Thin and Light Laptop,"₹55,353",8 GB DDR4 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 3 Quad Core Processor,39.62 cm (15.6 inch) Display
"ASUS Gaming V16 (2025) with Office 2024 + M365 Basic*, AI PC, (i7 14th gen) Intel Core 7 240H - (16 GB...","₹92,990",16 GB DDR5 RAM,Windows 11 Home Operating System,512 GB SSD,Intel Core 7 Processor,40.64 cm (16 Inch) Display
HP Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15S-FR2515TU Laptop,"₹52,126",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (11th Gen),39.62 cm (15.6 Inch) Display
Acer Aspire 3 Backlit Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin an...,"₹51,500",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (12th Gen),35.56 cm (14 Inch) Display
HP 250R G9 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Pro) 250R G9 Business Laptop,"₹59,899",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
"Apple MacBook Air (M5, 2026) M5 - (16 GB/1 TB SSD/Tahoe) MDHF4HN/A","₹1,85,900",16 GB Unified Memory RAM,Mac OS Operating System,1 TB SSD,Apple M5 Processor,34.54 cm (13.6 inch) Display
HP 14R (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Pro) 14R G9 Thin and Light L...,"₹69,990",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),35.56 cm (14 Inch) Display
Acer Aspire 7 Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹89,999",8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (12th Gen),39.62 cm (15.6 Inch) Display
Acer Swift Go 14 OLED EVO Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home) SFG14-71-70...,"₹1,10,999",16 GB LPDDR5 RAM,64 bit Windows 11 Home Operating System,1 TB SSD,Intel Core i7 Processor (13th Gen),35.56 cm (14 Inch) Display
"ASUS Vivobook Go 15, 12th Gen, Equivalent to Intel 12th Gen, Intel Core i3 N305 - (8 GB/512 GB SSD/Win...","₹58,391",8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor,39.62 cm (15.6 Inch) Display
Infinix INBook X2 Plus Intel Core i7 11th Gen 1195G7 - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin an...,"₹79,990",16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (11th Gen),39.62 cm (15.6 Inch) Display
MSI Prestige 13 Evo Intel Core i5 12th Gen 1240P - (8 GB/512 GB SSD/Windows 11 Home) Prestige 13 Evo A...,"₹1,06,990",8 GB LPDDR5 RAM,Windows 11 Operating System,512 GB SSD,Intel Core i5 Processor (12th Gen),33.78 cm (13.3 Inch) Display
Acer Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) C734-C2ED Chromebo...,"₹22,690",4 GB LPDDR4X RAM,Chrome Operating System,,Intel Celeron Dual Core Processor,29.46 cm (11.6 Inch) Display
Infinix Intel Core i7 10th Gen 1065G7 - (8 GB/512 GB SSD/Windows 11 Home/128 MB Graphics) XL21 Thin an...,"₹64,990",8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,Intel Core i7 Processor (10th Gen),35.56 cm (14 Inch) Display
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB S...,"₹59,990",8 GB LPDDR5 RAM,Windows 11 Home Operating System,512 GB SSD,AMD Ryzen 5 Quad Core Processor,35.56 cm (14 Inch) Display
HP G9 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Pro) 250R G9 Business Laptop,"₹59,900",16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,Intel Core i3 Processor (13th Gen),39.62 cm (15.6 Inch) Display
